Critère,Note,,,
,1,2,3,4
"Plan, titres",,Colle (au moins à peu près) à l’esprit des consignes,Sous-titres parlants et attractifs,Déroge au plan proposé par les consignes pour des raisons valables (mieux que ce qui est conseillé)
Résumé (executive summary),,Mieux que pas de résumé,Résumé clair et concis,"Représente fidèlement et succinctement le propos, difficile de voir comment faire mieux"
Description de la problématique ,,Description d’un problème ressemblant vaguement à une problématique telle que dans les consignes,"Description d’un problème bien posé, admettant a priori une multiplicité de solutions",Description très claire et concise
Analyse de solutions alternatives,,Solutions alternatives décrites,Solutions alternatives pertinentes et analyse éclairant au moins possiblement le choix d’une solution parmi celles présentées,Analyse dense utilisant la littérature à bon escient
Description de la solution proposée ,,"Solution exposée clairement (génèse, mise en place, bilan)",Solution exposée clairement avec démonstration de qques résultats,Résultats exposés sous formes de tableaux et/ou figures soulignant la performance de la solution proposée
Présentation graphique,,Qqs figures au moins modérément utiles,Figures pertinentes et avec légende (explication synthétique) et référencées et commentées dans le texte,"Figures particulièrement bien faites et éclairantes (valable aussi : réemploi de figures existantes bien faites et éclairantes, à condition bien sûr de les citer correctement et de respecter le droit d’auteur)"
Bibliographie,,Références indiquées dans le texte et renvoi vers une bibliographie,Plusieurs articles (blogs pro acceptés) ou livres de recherche invoqués de façon pertinente,"Sources exigeantes, qui ne se trouvent pas nécessairement facilement, littérature scientifique (si pertinent), utiles à l’analyse, invoquées pour des affirmations non triviales"
Perspectives,,Ne consiste pas en du bla-bla trivial,Pistes d’évolution (améliorations ou solutions alternatives ou étapes suivantes) pertinentes,"Perspectives inattendues, particulièrement intelligentes"
,,,,
"Pour avoir pour un critère c la note de x, il faut satisfaire toutes les conditions pour c des notes inférieures ou égales à x. Par exemple pour avoir 3 en Plan, il faut des sous-titres parlants et attractifs qui collent (au moins à peu près) à l’esprit des consignes. Si pour un critère c aucune case n’est satisfaite, on obtient la note de 1.",,,,
Ces critères servent uniquement de guides informels. La note n’est pas une somme pondérée de ces points ; elle est laissée à l’appréciation du jury et dépend entre autres de la complexité du sujet.,,,,
